Record ID,Company Name,Industry,Carbon Emissions (MT),Water Usage (m^3),Energy Consumption (MWh),Waste Generation (MT),Recycling Rate (%),Supply Chain Sustainability Score,Employee Transportation Mode,Renewable Energy Use (%),Sustainability Training,Community Engagement Score,Sustainability Reporting Frequency,Eco-friendly Product Lines (%),Investment in Sustainability (USD),Third-party Sustainability Certification,Customer Feedback Score on Sustainability,Sustainable Packaging Initiatives,Likelihood of Achieving Sustainability Goals,Sustainability_Goals_Segment,Engagement Impact Score,Unrenewable Energy (MWh),Energy Tax,Carbon Tax,Carbon Emissions relative to industry average (%),Water Usage relative to industry average (%),Energy Consumption relative to industry average (%),Waste Generation relative to industry average (%),Energy Tax difference from industry average ($),Carbon Tax difference from industry average ($),Renew-Energy difference from industry (%),Recycling Rate difference from industry (%),Eco-friendly Product Lines difference from industry (%),Sustainable Packaging Initiatives difference from industry,Investment amount difference from industry average ($)
1.0,Company_1,IT,41648.0,165790.0,41851.0,11163.0,65.85,55.0,Car,17.49,Yes,75.0,Bi-annually,35.94,1649580.0,Yes,67.0,4.0,0.69,High,89.0,34531.2601,7659.03349018,2082.4,66.05670946501078,-67.37646034060208,64.0721122324124,-13.579388661912315,4555.098067728662,828.3705743243245,-27.386378378378378,16.20716891891891,-8.304554054054059,0.9777027027027025,-871824.4611707213
3.0,Company_3,IT,3973.0,450035.0,34379.0,9787.0,27.06,93.0,Car,15.22,No,38.0,Quarterly,13.79,4389876.0,No,54.0,6.0,0.87,High,142.0,29146.516200000002,6464.69729316,198.65,-84.15906389971937,-11.443786292194101,34.77898130123786,-24.231969616961017,3360.761870708662,-1055.3794256756755,-29.656378378378378,-22.582831081081086,-30.454554054054057,2.9777027027027025,1868471.5388292787
27.0,Company_27,IT,23731.0,627683.0,2598.0,12142.0,31.14,85.0,Public Transport,21.77,No,57.0,Annually,79.29,818699.0,Yes,89.0,2.0,0.53,Medium,156.0,2032.4154,450.78973572,1186.55,-5.381008156113844,23.51312650961976,-89.814834828802,-6.000263113225776,-2653.145686731338,-67.47942567567566,-23.106378378378377,-18.502831081081084,35.04544594594595,-1.0222972972972975,-1702705.4611707213
33.0,Company_33,IT,49146.0,335918.0,43623.0,5646.0,46.68,88.0,Public Transport,56.5,No,72.0,Quarterly,36.66,4693416.0,Yes,96.0,3.0,0.88,High,133.0,18976.005,4208.877909,2457.3,95.95233968899873,-33.8993051733782,71.01903782262134,-56.29035459868825,1104.9424865486617,1203.2705743243246,11.623621621621623,-2.9628310810810845,-7.58455405405406,-0.022297297297297458,2172011.5388292787
35.0,Company_35,IT,47481.0,21277.0,10315.0,15032.0,28.02,87.0,Walking,23.81,Yes,70.0,Annually,62.11,4299710.0,No,70.0,2.0,0.52,Medium,100.0,7858.9985,1743.1258672999998,2374.05,89.31373948588592,-95.81319106500386,-59.56120910665614,16.373253572886686,-1360.8095551513384,1120.0205743243246,-21.066378378378378,-21.622831081081085,17.865445945945943,-1.0222972972972975,1778305.5388292787
37.0,Company_37,IT,48642.0,817575.0,38895.0,20408.0,60.43,41.0,Public Transport,79.35,No,74.0,Bi-annually,41.17,3559095.0,Yes,94.0,5.0,0.39,Low,127.0,8031.817500000002,1781.4571215000003,2432.1,93.94281746535378,60.879368098391026,52.48344855032568,57.992639629821156,-1322.4783009513378,1178.0705743243243,34.47362162162162,10.787168918918915,-3.0745540540540546,1.9777027027027025,1037690.5388292787
41.0,Company_41,IT,45666.0,912222.0,30405.0,23638.0,62.99,82.0,Public Transport,48.19,Yes,51.0,Annually,33.42,2625639.0,No,82.0,2.0,0.52,Medium,161.0,15752.8305,3493.9778048999997,2283.3,82.07706719240257,79.50365278469921,19.199363752992735,82.99833474959391,390.04238244866156,1029.2705743243246,3.313621621621621,13.347168918918918,-10.824554054054055,-1.0222972972972975,104234.53882927867
43.0,Company_43,IT,3172.0,832722.0,47445.0,10226.0,57.0,46.0,Car,52.5,Yes,77.0,Bi-annually,42.83,1155625.0,Yes,55.0,3.0,0.43,Medium,71.0,22536.375,4998.567975,158.6,-87.35276886229796,63.859938429658904,86.00275656177406,-20.833362757029054,1894.6325525486618,-1095.4294256756757,7.6236216216216235,7.357168918918916,-1.414554054054058,-0.022297297297297458,-1365779.4611707213
49.0,Company_49,IT,31238.0,698926.0,21997.0,4474.0,64.33,93.0,Public Transport,24.93,No,71.0,Annually,74.33,2431624.0,Yes,74.0,2.0,0.85,High,104.0,16513.147899999996,3662.616204219999,1561.9,24.550506393296352,37.53205911082904,-13.763249318382464,-65.36362849354079,558.6807817686608,307.8705743243245,-19.946378378378377,14.687168918918914,30.085445945945942,-1.0222972972972975,-89780.46117072133
52.0,Company_52,IT,6443.0,810499.0,42668.0,21324.0,54.51,41.0,Bike,15.1,Yes,64.0,Bi-annually,43.9,1144231.0,Yes,95.0,5.0,0.53,Medium,148.0,36225.132000000005,8034.734277600001,322.15,-74.31081014495139,59.48697913265184,67.27506833128413,65.084037998153,4930.798855148663,-931.8794256756756,-29.776378378378375,4.867168918918914,-0.3445540540540577,1.9777027027027025,-1377173.4611707213
